src,dst,kind
article-13.2,article-13.3,HAS_SUBUNIT
article-13.3,article-13.3.a,HAS_SUBUNIT
article-13.3.a,article-13.3.a.b,HAS_SUBUNIT
article-13.3.a.b,article-13.3.a.b.i,HAS_SUBUNIT
article-13.3.a.b.i,article-13.3.a.b.i.ii,HAS_SUBUNIT
article-13.3.a.b.i.ii,article-13.3.a.b.i.ii.iii,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii,article-13.3.a.b.i.ii.iii.iv,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv,article-13.3.a.b.i.ii.iii.iv.v,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv.v,article-13.3.a.b.i.ii.iii.iv.v.vi,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv.v.vi,article-13.3.a.b.i.ii.iii.iv.v.vi.vii,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv.v.vi.vii,article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c,article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c.d,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c.d,article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c.d.e,HAS_SUBUNIT
article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c.d.e,article-13.3.a.b.i.ii.iii.iv.v.vi.vii.c.d.e.f,HAS_SUBUNIT
article-14,article-14.1,HAS_SUBUNIT
article-14.1,article-14.2,HAS_SUBUNIT
article-14.2,article-14.3,HAS_SUBUNIT
article-14.3,article-14.3.a,HAS_SUBUNIT
article-14.3.a,article-14.3.a.b,HAS_SUBUNIT
article-14.3.a.b,article-14.4,HAS_SUBUNIT
article-14.4,article-14.4.a,HAS_SUBUNIT
article-14.4.a,article-14.4.a.b,HAS_SUBUNIT
article-14.4.a.b,article-14.4.a.b.c,HAS_SUBUNIT
article-14.4.a.b.c,article-14.4.a.b.c.d,HAS_SUBUNIT
article-14.4.a.b.c.d,article-14.4.a.b.c.d.e,HAS_SUBUNIT
article-14.4.a.b.c.d.e,article-14.5,HAS_SUBUNIT
article-15,article-15.1,HAS_SUBUNIT
article-15.1,article-15.2,HAS_SUBUNIT
article-15.2,article-15.3,HAS_SUBUNIT
article-15.3,article-15.4,HAS_SUBUNIT
article-15.4,article-15.5,HAS_SUBUNIT
article-16,article-16.a,HAS_SUBUNIT
article-16.a,article-16.b,HAS_SUBUNIT
article-16.b,article-16.c,HAS_SUBUNIT
article-16.c,article-16.d,HAS_SUBUNIT
article-16.d,article-16.e,HAS_SUBUNIT
article-16.e,article-16.f,HAS_SUBUNIT
article-16.f,article-16.g,HAS_SUBUNIT
article-16.g,article-16.h,HAS_SUBUNIT
article-16.h,article-16.i,HAS_SUBUNIT
article-16.i,article-16.j,HAS_SUBUNIT
article-16.j,article-16.k,HAS_SUBUNIT
article-16.k,article-16.l,HAS_SUBUNIT
article-17,article-17.1,HAS_SUBUNIT
article-17.1,article-17.1.a,HAS_SUBUNIT
article-17.1.a,article-17.1.a.b,HAS_SUBUNIT
article-17.1.a.b,article-17.1.a.b.c,HAS_SUBUNIT
article-17.1.a.b.c,article-17.1.a.b.c.d,HAS_SUBUNIT
article-17.1.a.b.c.d,article-17.1.a.b.c.d.e,HAS_SUBUNIT
article-17.1.a.b.c.d.e,article-17.1.a.b.c.d.e.f,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f,article-17.1.a.b.c.d.e.f.g,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g,article-17.1.a.b.c.d.e.f.g.h,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g.h,article-17.1.a.b.c.d.e.f.g.h.i,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g.h.i,article-17.1.a.b.c.d.e.f.g.h.i.j,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g.h.i.j,article-17.1.a.b.c.d.e.f.g.h.i.j.k,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g.h.i.j.k,article-17.1.a.b.c.d.e.f.g.h.i.j.k.l,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g.h.i.j.k.l,article-17.1.a.b.c.d.e.f.g.h.i.j.k.l.m,HAS_SUBUNIT
article-17.1.a.b.c.d.e.f.g.h.i.j.k.l.m,article-17.2,HAS_SUBUNIT
article-17.2,article-17.3,HAS_SUBUNIT
article-17.3,article-17.4,HAS_SUBUNIT
article-18,article-18.1,HAS_SUBUNIT
article-18.1,article-18.1.a,HAS_SUBUNIT
article-18.1.a,article-18.1.a.b,HAS_SUBUNIT
article-18.1.a.b,article-18.1.a.b.c,HAS_SUBUNIT
article-18.1.a.b.c,article-18.1.a.b.c.d,HAS_SUBUNIT
article-18.1.a.b.c.d,article-18.1.a.b.c.d.e,HAS_SUBUNIT
article-18.1.a.b.c.d.e,article-18.2,HAS_SUBUNIT
article-18.2,article-18.3,HAS_SUBUNIT
article-19,article-19.1,HAS_SUBUNIT
article-19.1,article-19.2,HAS_SUBUNIT
article-2,article-2.1,HAS_SUBUNIT
article-2.1,article-2.1.a,HAS_SUBUNIT
article-2.1.a,article-2.1.a.b,HAS_SUBUNIT
article-2.1.a.b,article-2.1.a.b.c,HAS_SUBUNIT
article-2.1.a.b.c,article-2.1.a.b.c.d,HAS_SUBUNIT
article-2.1.a.b.c.d,article-2.1.a.b.c.d.e,HAS_SUBUNIT
article-2.1.a.b.c.d.e,article-2.1.a.b.c.d.e.f,HAS_SUBUNIT
article-2.1.a.b.c.d.e.f,article-2.1.a.b.c.d.e.f.g,HAS_SUBUNIT
article-2.1.a.b.c.d.e.f.g,article-2.2,HAS_SUBUNIT
article-2.2,article-2.3,HAS_SUBUNIT
article-2.3,article-2.4,HAS_SUBUNIT
article-2.4,article-2.5,HAS_SUBUNIT
article-2.5,article-2.6,HAS_SUBUNIT
article-2.6,article-2.7,HAS_SUBUNIT
article-2.7,article-2.8,HAS_SUBUNIT
article-2.8,article-2.9,HAS_SUBUNIT
article-2.9,article-2.10,HAS_SUBUNIT
article-2.10,article-2.11,HAS_SUBUNIT
article-2.11,article-2.12,HAS_SUBUNIT
article-2.12,article-2.13,HAS_SUBUNIT
article-2.13,article-2.13.a,HAS_SUBUNIT
article-2.13.a,article-2.13.a.b,HAS_SUBUNIT
article-20,article-20.1,HAS_SUBUNIT
article-20.1,article-20.2,HAS_SUBUNIT
article-21,article-21.1,HAS_SUBUNIT
article-21.1,article-21.2,HAS_SUBUNIT
article-21.2,article-21.3,HAS_SUBUNIT
article-22,article-22.1,HAS_SUBUNIT
article-22.1,article-22.2,HAS_SUBUNIT
article-22.2,article-22.3,HAS_SUBUNIT
article-22.3,article-22.3.a,HAS_SUBUNIT
article-22.3.a,article-22.3.a.b,HAS_SUBUNIT
article-22.3.a.b,article-22.3.a.b.c,HAS_SUBUNIT
article-22.3.a.b.c,article-22.3.a.b.c.d,HAS_SUBUNIT
article-22.3.a.b.c.d,article-22.3.a.b.c.d.e,HAS_SUBUNIT
article-22.3.a.b.c.d.e,article-22.4,HAS_SUBUNIT
